Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
659,97583	87
660,49738	91
661,01892	76
661,54047	86
662,06207	96
662,58368	86
663,10535	106
663,62701	104
664,14868	122
664,67041	125
665,19214	138
665,71393	148
666,23572	152
666,75751	174
667,27936	196
667,80121	203
668,32312	214
668,84503	225
669,36694	240
669,88892	258
670,41089	265
670,93292	306
671,45496	315
671,97699	335
672,49908	368
673,02118	381
673,54333	421
674,06549	453
674,58765	496
675,10986	552
675,63208	587
676,15436	633
676,67664	660
677,19891	736
677,72125	808
678,24359	861
678,76593	942
679,28833	1018
679,81079	1092
680,33325	1172
680,85571	1277
681,37817	1359
681,9007	1467
682,42328	1554
682,9458	1652
683,46844	1797
683,99103	1923
684,51367	2026
685,03632	2146
685,55902	2242
686,08173	2402
686,60449	2516
687,12726	2696
687,65002	2823
688,17285	2978
688,69568	3162
689,21857	3307
689,74146	3500
690,26434	3708
690,78729	3942
691,31024	4249
691,83325	4501
692,35626	4809
692,87927	5155
693,40234	5514
693,92542	5887
694,44849	6424
694,97162	6896
695,49481	7514
696,01794	8200
696,54114	8928
697,06439	9741
697,58765	10663
698,1109	11619
698,63422	12654
699,15753	13830
699,68091	15098
700,20428	16460
700,72766	17933
701,2511	19370
701,77454	20881
702,29797	22733
702,82147	24372
703,34503	26238
703,86853	27968
704,39215	29734
704,91571	31549
705,43933	33295
705,96295	35108
706,48663	36984
707,01031	38762
707,53406	40393
708,0578	41822
708,58154	43070
709,10535	44129
709,62915	45251
710,15295	46099
710,67682	46819
711,20074	47382
711,72461	47727
712,24854	47866
712,77252	47712
713,29651	47492
713,8205	47255
714,34454	46884
714,86859	46545
715,39264	46055
715,91675	45029
716,44092	44125
716,96503	42819
717,4892	41511
718,01343	40044
718,53766	38536
719,06189	36946
719,58618	35385
720,11047	33732
720,63477	32108
721,15912	30491
721,68353	28822
722,20789	27164
722,7323	25370
723,25677	23743
723,78125	22111
724,30573	20529
724,83026	18931
725,3548	17337
725,87933	15913
726,40393	14559
726,92859	13222
727,45319	12007
727,97784	10839
728,50256	9863
729,02728	8868
729,552	7890
730,07678	7035
730,60156	6287
731,12634	5646
731,65118	5014
732,17603	4474
732,70093	3993
733,22583	3542
733,75079	3112
734,2757	2795
734,80072	2480
735,32568	2232
735,85071	1970
736,37579	1781
736,90088	1598
737,42596	1444
737,95111	1314
738,47626	1225
