Date and Time:                Fri May 23 20:38:16.507 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
876,90466	403
877,43622	386
877,96777	422
878,49939	380
879,03101	391
879,56268	382
880,09436	397
880,62604	395
881,15778	370
881,68951	369
882,22131	397
882,75311	388
883,28491	369
883,81677	368
884,34863	410
884,88055	398
885,41248	396
885,9444	399
886,47638	385
887,00836	391
887,54041	386
888,07239	383
888,60449	383
889,1366	406
889,6687	391
890,20081	377
890,73297	397
891,2652	384
891,79742	399
892,32965	384
892,86188	377
893,39417	393
893,92651	387
894,4588	373
894,99121	389
895,52356	383
896,05597	393
896,58838	364
897,12085	381
897,65332	392
898,18585	376
898,71838	379
899,25092	371
899,78351	385
900,3161	385
900,84875	381
901,38141	387
901,91406	395
902,44678	377
902,97949	388
903,51221	397
904,04498	385
904,57782	380
905,1106	365
905,64349	378
906,17633	393
906,70923	405
907,24213	389
907,77509	384
908,30804	391
908,84106	388
909,37408	379
909,9071	377
910,44019	391
910,97327	388
911,50641	393
912,03949	395
912,57269	400
913,1059	401
913,6391	414
914,1723	401
914,70557	392
915,23883	393
915,77216	408
916,30548	430
916,83887	411
917,37225	415
917,90564	417
918,43909	433
918,97253	423
919,50598	422
920,03949	437
920,57306	436
921,10657	435
921,64014	460
922,17377	469
922,7074	444
923,24103	430
923,77472	461
924,30841	463
924,84216	478
925,37585	498
925,90967	491
926,44342	490
926,97729	479
927,51111	526
928,04498	526
928,57886	519
929,11279	524
929,64673	522
930,18073	548
930,71466	550
931,24872	570
931,78271	588
932,31683	597
932,85089	619
933,38501	638
933,91913	667
934,45331	650
934,98749	683
935,52167	722
936,05591	718
936,59021	757
937,12445	806
937,65875	824
938,19312	870
938,72748	890
939,26184	920
939,79626	961
940,33069	1012
940,86511	1068
941,3996	1092
941,93408	1163
942,46863	1193
943,00317	1252
943,53778	1337
944,07239	1364
944,60699	1397
945,1416	1441
945,67633	1522
946,211	1538
946,74573	1575
947,28046	1635
947,81525	1692
948,35004	1729
948,88483	1791
949,41968	1810
949,95453	1791
950,48944	1828
951,02435	1843
951,55933	1872
952,09424	1832
952,62927	1840
953,16425	1834
953,69928	1806
954,23438	1784
954,76947	1749
955,30457	1678
955,83972	1689
956,37488	1648
956,91003	1616
957,44525	1542
957,98047	1494
958,51575	1455
959,05103	1417
959,5863	1360
960,12164	1340
960,65698	1268
961,19238	1248
961,72778	1194
962,26324	1145
962,79865	1122
963,33417	1059
963,86963	1023
964,40515	969
964,94073	939
965,47632	895
966,0119	861
966,54749	854
967,08313	808
967,61884	761
968,15454	717
968,69025	683
969,22601	660
969,76178	633
970,29755	609
970,83337	576
971,3692	557
971,90509	557
972,44098	532
972,97687	533
973,51282	487
974,04877	510
974,58478	500
975,12079	479
975,6568	476
976,19287	461
976,72894	453
977,26508	466
977,80121	431
978,33734	450
978,87354	435
979,40973	463
979,94598	421
980,48224	417
981,01849	428
981,55481	418
982,09113	413
982,6275	421
983,16388	412
983,70026	408
984,23669	438
984,77313	434
985,30963	415
985,84613	437
986,38263	420
986,91919	439
987,45575	427
987,99237	420
988,52899	419
989,06561	432
989,60229	408
990,13898	427
990,67572	434
991,21246	438
991,74921	425
992,28601	436
992,82281	451
993,35968	444
993,89655	441
994,43341	438
994,97034	443
995,50726	464
996,04419	462
996,58118	451
997,11823	470
997,65527	443
998,19232	442
998,72937	460
999,26648	445
999,80365	485
1000,3408	488
1000,878	479
1001,4152	462
1001,9524	461
1002,4896	483
1003,0269	477
1003,5642	490
1004,1016	488
1004,6389	484
1005,1763	506
1005,7137	500
1006,2511	490
1006,7886	480
1007,326	516
1007,8635	497
1008,4011	506
1008,9386	509
1009,4761	480
1010,0137	499
1010,5514	510
1011,0891	511
1011,6267	502
1012,1644	523
1012,7021	523
1013,2399	506
1013,7776	514
1014,3154	507
1014,8532	522
1015,3911	508
1015,9289	512
1016,4668	521
1017,0047	539
1017,5427	512
1018,0806	530
1018,6186	512
1019,1566	526
1019,6946	521
1020,2327	533
1020,7708	524
1021,3089	520
1021,847	535
1022,3851	553
1022,9233	509
1023,4615	536
1023,9998	528
1024,538	532
1025,0763	534
1025,6146	533
1026,153	528
1026,6913	552
1027,2296	539
1027,7681	544
1028,3065	530
1028,8448	537
1029,3834	548
1029,9219	539
1030,4604	537
1030,9989	561
1031,5375	562
1032,076	563
1032,6147	550
1033,1533	554
1033,692	570
1034,2307	560
1034,7694	540
1035,3082	572
1035,8469	561
1036,3857	579
1036,9246	540
1037,4634	592
1038,0022	563
1038,5411	571
1039,0801	584
1039,6189	559
1040,158	563
1040,6969	552
1041,236	559
1041,7749	581
1042,314	570
1042,853	586
1043,3922	578
1043,9313	592
1044,4705	595
1045,0096	564
1045,5488	610
1046,088	576
1046,6273	579
1047,1666	588
1047,7059	581
1048,2452	569
1048,7845	590
1049,324	575
1049,8633	587
1050,4027	594
1050,9421	592
1051,4817	566
1052,0211	587
1052,5607	575
1053,1002	567
1053,6398	564
1054,1793	580
1054,719	587
1055,2587	559
1055,7983	569
1056,338	563
1056,8777	574
1057,4175	569
1057,9572	559
1058,4969	551
1059,0367	568
1059,5767	548
1060,1165	541
1060,6564	558
1061,1963	559
1061,7362	556
1062,2761	544
1062,8162	549
1063,3562	551
1063,8962	563
1064,4363	572
1064,9763	553
1065,5165	553
1066,0565	555
1066,5967	568
1067,1368	564
1067,6771	542
1068,2173	534
1068,7576	539
1069,2979	543
1069,8381	537
1070,3784	553
1070,9188	511
1071,4591	551
1071,9995	531
1072,5399	540
1073,0804	534
1073,6208	528
1074,1614	553
1074,7019	505
1075,2424	534
1075,783	513
1076,3236	530
1076,8643	521
1077,4048	511
1077,9456	509
1078,4862	508
1079,0269	497
1079,5676	516
1080,1084	480
1080,6492	478
1081,1899	504
1081,7308	489
1082,2717	468
1082,8126	509
1083,3535	488
1083,8944	470
1084,4353	489
1084,9763	478
1085,5173	489
1086,0583	504
1086,5994	477
1087,1405	452
1087,6816	459
1088,2228	472
1088,7639	470
1089,3051	473
1089,8462	452
1090,3875	448
1090,9287	427
1091,47	454
1092,0112	436
1092,5526	434
1093,094	440
1093,6354	475
1094,1768	448
1094,7181	444
1095,2595	432
1095,801	425
1096,3425	429
1096,884	444
1097,4255	438
1097,9672	410
1098,5088	414
1099,0503	446
1099,592	403
1100,1337	407
1100,6753	403
1101,217	420
1101,7588	397
1102,3005	395
1102,8423	392
1103,3842	404
1103,9259	383
1104,4678	395
1105,0096	403
1105,5516	406
1106,0935	386
1106,6355	379
1107,1775	393
1107,7195	376
1108,2615	381
1108,8036	390
1109,3456	360
1109,8877	366
1110,4298	370
1110,972	376
1111,5142	360
1112,0564	376
1112,5986	371
1113,1409	365
1113,6831	344
1114,2253	368
1114,7677	354
1115,3101	352
1115,8524	338
1116,3948	346
1116,9373	332
1117,4796	338
1118,0221	321
1118,5646	344
1119,1072	329
1119,6497	340
1120,1923	336
1120,7349	304
1121,2775	299
